,time,low,high,open,close,volume,price_change,average_price,volatitlity,product_id
41,2021-11-16,58638.0,63624.6,63621.05,60107.98,24910.15267457,-3513.0699999999997,61131.3,8.504041747672156,BTC-USD
42,2021-11-15,63371.0,66339.9,65505.03,63624.59,10426.55522646,-1880.4400000000023,64855.45,4.684950529421966,BTC-USD
43,2021-11-14,63596.9,65525.0,64400.01,65505.02,6081.57225975,1105.0099999999948,64560.95,3.031751547638326,BTC-USD
44,2021-11-13,63394.17,64990.0,64144.42,64400.01,5968.10354833,255.59000000000378,64192.085,2.5173135005947733,BTC-USD
45,2021-11-12,62300.0,65477.06,64807.73,64147.9,13658.626579,-659.8300000000017,63888.53,5.099614767255213,BTC-USD
46,2021-11-11,64133.78,65600.0,64912.2,64807.59,10259.51472415,-104.61000000000058,64866.89,2.2861898986774225,BTC-USD
47,2021-11-10,62800.0,69000.0,66938.76,64912.2,19030.24517744,-2026.5599999999977,65900.0,9.872611464968154,BTC-USD
48,2021-11-09,66261.79,68568.85,67554.13,66944.66,14996.62508818,-609.4700000000012,67415.32,3.4817350995196663,BTC-USD
49,2021-11-08,63309.12,67792.77,63309.12,67554.84,17661.87297159,4245.719999999994,65550.945,7.082154988096503,BTC-USD
50,2021-11-07,61397.86,63327.96,61539.3,63309.13,5596.02460734,1769.8299999999945,62362.91,3.1435949070537617,BTC-USD
51,2021-11-06,60125.0,61599.25,61006.14,61539.31,6366.43859189,533.1699999999983,60862.125,2.451975051975052,BTC-USD
52,2021-11-05,60777.0,62638.59,61444.49,61006.15,10598.79620286,-438.3399999999965,61707.795,3.062984352633392,BTC-USD
53,2021-11-04,60728.77,63114.14,62935.4,61444.5,11051.75853921,-1490.9000000000015,61921.455,3.927907645750116,BTC-USD
54,2021-11-03,60070.0,63568.36,63266.5,62935.41,12951.87181247,-331.0899999999965,61819.18,5.823805560179792,BTC-USD
55,2021-11-02,60672.16,64300.0,60956.4,63266.51,13694.11539462,2310.1100000000006,62486.08,5.979414611248382,BTC-USD
56,2021-11-01,59500.0,62500.0,61346.17,60949.54,11724.34161877,-396.6299999999974,61000.0,5.042016806722689,BTC-USD
57,2021-10-31,60001.0,62427.02,61896.38,61343.68,8371.1698899,-552.6999999999971,61214.009999999995,4.043299278345355,BTC-USD
58,2021-10-30,60725.01,62379.2,62287.95,61892.41,6793.59698552,-395.5399999999936,61552.104999999996,2.724067068906197,BTC-USD
59,2021-10-29,60188.73,62974.0,60591.63,62276.72,15497.01101939,1685.0900000000038,61581.365000000005,4.627560674564817,BTC-USD
60,2021-10-28,57653.88,62477.47,58462.73,60591.65,19354.49897509,2128.9199999999983,60065.675,8.36646206638652,BTC-USD
61,2021-10-27,58100.0,61488.0,60333.19,58455.47,18856.68565412,-1877.7200000000012,59794.0,5.831325301204819,BTC-USD
62,2021-10-26,59837.07,63290.49,63081.96,60337.62,12181.48144997,-2744.3399999999965,61563.78,5.771372161103474,BTC-USD
63,2021-10-25,60653.5,63726.58,60847.91,63083.54,10496.58058683,2235.6299999999974,62190.04,5.066616106242841,BTC-USD
64,2021-10-24,59522.89,61491.96,61300.02,60854.48,8573.72719199,-445.5399999999936,60507.425,3.3080887033542887,BTC-USD
65,2021-10-23,59650.0,61750.0,60682.88,61300.01,6708.15013802,617.1300000000047,60700.0,3.520536462699078,BTC-USD
66,2021-10-22,60000.0,63750.0,62204.01,60687.64,17217.70765017,-1516.3700000000026,61875.0,6.25,BTC-USD
67,2021-10-21,62050.0,66650.85,66021.26,62204.02,23474.39133313,-3817.239999999998,64350.425,7.414746172441589,BTC-USD
68,2021-10-20,63525.0,66999.0,64303.14,66026.54,19194.45410878,1723.3999999999942,65262.0,5.468713105076741,BTC-USD
69,2021-10-19,61333.0,64500.0,62042.4,64303.14,17380.30486176,2260.739999999998,62916.5,5.163615019646846,BTC-USD
70,2021-10-18,59887.74,62675.19,61530.07,62042.41,19798.1489024,512.3400000000038,61281.465,4.654458491838237,BTC-USD
71,2021-10-17,58943.83,61744.17,60867.05,61527.11,9153.32273471,660.0599999999977,60344.0,4.750861964687392,BTC-USD
72,2021-10-16,60139.01,62350.0,61690.32,60877.42,10161.25819825,-812.9000000000015,61244.505000000005,3.6764655753395306,BTC-USD
